ลำดับ,อ้างอิงภายใน,ชื่อ,Sales Price,ปริมาณในมือ,กล่องขาออก,ปริมาณพยากรณ์,หน่วยวัด,Activity Exception Decoration
779,#FSV0359,โปสเตอร์ นวดแผนไทย 2,30,0,0,0,แผ่น,
780,#FSV0360,โปสเตอร์ นวดแผนไทย 3,30,0,0,0,แผ่น,
1,AA478,โปสเตอร์ ปางสมาธิ ขนาด A4,15,0,0,0,แผ่น,
1,AA186,โปสเตอร์ ภาษาอาหรับ มีเสียง,245,0,0,0,ชุด,
781,#FSV0787,โปสเตอร์ วันสำคัญต่าง ๆ ของไทย,30,0,0,0,เล่ม,
782,#FSV0361,โปสเตอร์ ศาสตร์แห่งเท้า,30,0,0,0,แผ่น,
1,AA362,โปสเตอร์ ๑-๑๐๐ PVC,113,0,0,0,แผ่น,
1,AA168,โปสเตอร์กระดาษ การปฐมพยาบาลเพื่อช่วยคนจมน้ำ,40,0,0,0,แผ่น,
1,AA171,โปสเตอร์กระดาษ ชั่ง ตวง วัด,40,0,0,0,แผ่น,
1,AA350,โปสเตอร์กระดาษ มาตราตัวสะกด EQ - 093,70,0,0,0,แผ่น,
1,AA169,โปสเตอร์กระดาษ ฤดูกาลเปลี่ยนแปลงได้อย่างไร,40,0,0,0,แผ่น,
1,AA336,โปสเตอร์กระดาษ วันพืชมงคล,17,0,0,0,แผ่น,
1,AA334,โปสเตอร์กระดาษ วันมาฆบูชา,17,0,0,0,แผ่น,
1,AA335,โปสเตอร์กระดาษ วันสงกรานณ์,17,0,0,0,แผ่น,
1,AA332,โปสเตอร์กระดาษ วันออกพรรษา,17,0,0,0,แผ่น,
1,AA333,โปสเตอร์กระดาษ วันอาสาฬหบูชา,17,0,0,0,แผ่น,
378,#SC092B,โปสเตอร์ตารางธาตุ,550,60,0,60,ชุด,
1,#FID0425,โปสเตอร์ที่วัดส่วนสูง ลายยานพาหนะดุ๊กดิ๊ก,25,0,0,0,เล่ม,
1,#FNM0494,โปสเตอร์พระราชกรณียกิจ,245,0,0,0,เล่ม,
1,AA172,โปสเตอร์พลาสติก PP เรื่อง คอมพิวเตอร์,95,0,0,0,แผ่น,
1,AA476,โปสเตอร์พัฒนาการของธงชาติไทย ขนาด 50 x 70 ซม.,95,0,0,0,แผ่น,
